dataset,policy,stage1_tp,stage1_fp,stage1_tn,stage1_fn,stage1_n,stage1_accuracy,stage1_precision,stage1_recall,stage1_f1,final_tp,final_fp,final_tn,final_fn,final_n,final_accuracy,final_precision,final_recall,final_f1,accuracy_ci_low,accuracy_ci_high,precision_ci_low,precision_ci_high,recall_ci_low,recall_ci_high,f1_ci_low,f1_ci_high,routed_factoids,total_factoids,factoid_escalation_rate,routed_responses,total_responses,response_escalation_rate,rescued,harmed,routed_stage1_errors,net_correct_gain,rescue_rate_response,error_conditional_rescue_rate,harm_rate_response,rescue_rate_all_responses,harm_rate_all_responses,latency_mean_s,latency_median_s,latency_p95_s,cloud_tokens_mean,cloud_calls_mean,local_calls_mean,local_tokens_mean,total_tokens_mean,cloud_latency_mean_s,local_wall_latency_mean_s,local_gpu_duration_mean_s,local_load_duration_mean_s,routing_latency_mean_s,cloud_charge_available,cloud_charge_total
HaluEvalQA-3206-afterHuman,full_escalation,2101,170,2980,1105,6356,0.7994021397105098,0.9251431087626596,0.6553337492202121,0.7672083257257623,2523,188,2962,683,6356,0.8629641283826306,0.9306528956104758,0.7869619463505927,0.852797025519689,0.8546217711791086,0.8713142956661248,0.9218266661025295,0.9393267098596434,0.7729257641921398,0.8009981285090455,0.8431083235508741,0.8622134418830429,10686,10686,1.0,6356,6356,1.0,551,147,1275,404,0.08668974197608559,0.432156862745098,0.023127753303964757,0.08668974197608559,0.023127753303964757,13.101947607839433,7.935517551149259,25.333974552861804,4695.757709251101,12.786028949024544,8.406230333543109,3579.388766519824,8275.146475770925,10.958508056737873,2.143437279437001,1.9884367712397735,0.015632486674008808,2.2716645580406383e-06,False,
HaluEvalQA-3206-afterHuman,learned_router_matched_rate,2101,170,2980,1105,6356,0.7994021397105098,0.9251431087626596,0.6553337492202121,0.7672083257257623,2458,197,2953,748,6356,0.8513215859030837,0.9258003766478343,0.7666874610106051,0.8387647159187853,0.8427759812567927,0.8595728934509609,0.9162900075459511,0.9347342844868027,0.7517077354959452,0.7816671865252651,0.8284767705099044,0.8486503215777073,5731,10686,0.5363091895938611,3306,6356,0.5201384518565135,447,117,908,330,0.13520871143375682,0.4922907488986784,0.03539019963702359,0.07032724984266835,0.0184078036500944,10.013278624624368,6.763039499957813,20.133980599988718,3159.3445563247324,8.888137193203272,8.406230333543109,3579.388766519824,6738.733322844556,7.869841345187367,2.143437279437001,1.9884367712397735,0.015632486674008808,0.0,False,
HaluEvalQA-3206-afterHuman,no_escalation,2101,170,2980,1105,6356,0.7994021397105098,0.9251431087626596,0.6553337492202121,0.7672083257257623,2101,170,2980,1105,6356,0.7994021397105098,0.9251431087626596,0.6553337492202121,0.7672083257257623,0.7898626294127047,0.808608328593041,0.9147352066385734,0.9352717235942141,0.6394260761072988,0.6718652526512788,0.7541465484483506,0.7797226289814404,0,10686,0.0,0,6356,0.0,0,0,0,0,,,,0.0,0.0,6.4000280639404785,3.822403927556853,12.362216107780327,1371.2369414726243,4.379798615481435,8.406230333543109,3579.388766519824,4950.625707992448,4.256588804783528,2.143437279437001,1.9884367712397735,0.015632486674008808,1.9797199503023383e-06,False,
HaluEvalQA-3206-afterHuman,oracle_minimal_rescue,2101,170,2980,1105,6356,0.7994021397105098,0.9251431087626596,0.6553337492202121,0.7672083257257623,2599,114,3036,607,6356,0.8865638766519823,0.9579800958348691,0.8106674984404242,0.8781888832573069,0.879102070123954,0.8941905354581563,0.9505670983135798,0.9652779721911161,0.7972551466001248,0.8240876481597006,0.8694739160444565,0.8869039834641189,723,10686,0.06765861875350926,554,6356,0.08716173694147263,554,0,554,554,1.0,1.0,0.0,0.08716173694147263,0.0,6.8615919016226625,3.9185656999470666,13.30366089992458,1599.9172435494022,4.948552548772813,8.406230333543109,3579.388766519824,5179.3060100692255,4.718154622185661,2.143437279437001,1.9884367712397735,0.015632486674008808,0.0,False,
HaluEvalQA-3206-afterHuman,paradox_only,2101,170,2980,1105,6356,0.7994021397105098,0.9251431087626596,0.6553337492202121,0.7672083257257623,2334,171,2979,872,6356,0.8359030837004405,0.9317365269461078,0.7280099812850904,0.8173699877429521,0.82716205051238,0.8449905482041588,0.9220972860308201,0.9410597212155326,0.7130302557704303,0.7432938240798502,0.8064400345591283,0.828328509082355,4282,10686,0.400711210930189,2936,6356,0.4619257394587791,349,117,700,232,0.11886920980926431,0.49857142857142855,0.039850136239782015,0.05490874764002517,0.0184078036500944,9.064591883117798,6.380223684345212,18.954002046258093,2711.0741032095657,7.748269351793581,8.406230333543109,3579.388766519824,6290.462869729389,6.921152528020006,2.143437279437001,1.9884367712397735,0.015632486674008808,2.0756607915083143e-06,False,
HaluEvalQA-3206-afterHuman,strict,2101,170,2980,1105,6356,0.7994021397105098,0.9251431087626596,0.6553337492202121,0.7672083257257623,2439,176,2974,767,6356,0.8516362492133417,0.9326959847036329,0.7607610729881472,0.8380003435835767,0.8433987663680976,0.859864988941755,0.9237170603377884,0.9414051806859196,0.7451653150343107,0.7754210854647536,0.8279424855995942,0.8478640776699028,6034,10686,0.5646640464158712,3453,6356,0.5432662051604783,466,134,886,332,0.13495511149724876,0.5259593679458239,0.03880683463654793,0.07331655129011957,0.021082441787287604,10.200162679767342,6.849248479628604,20.369929368937807,3255.4606670862177,9.126494650723725,8.406230333543109,3579.388766519824,6834.849433606041,8.056722828461254,2.143437279437001,1.9884367712397735,0.015632486674008808,2.57186908562081e-06,False,
HaluEvalQA-3206-afterHuman,strong_only,,,,,,,,,,2523,188,2962,683,6356,0.8629641283826306,0.9306528956104758,0.7869619463505927,0.852797025519689,0.8546217711791086,0.8713142956661248,0.9218266661025295,0.9393267098596434,0.7729257641921398,0.8009981285090455,0.8431083235508741,0.8622134418830429,,,,,,,,,,,,,,,,10.958508056737873,6.6529765000450425,21.199448725194088,4695.757709251101,12.786028949024544,0.0,0.0,4695.757709251101,10.958508056737873,0.0,0.0,0.0,0.0,False,
HaluEvalQA-3206-afterHuman,structure_aware,2101,170,2980,1105,6356,0.7994021397105098,0.9251431087626596,0.6553337492202121,0.7672083257257623,2422,174,2976,784,6356,0.8492762743864065,0.9329738058551618,0.7554585152838428,0.8348845225784213,0.8409697458025918,0.8577502889944478,0.9238086253369272,0.9417719894443879,0.740174672489083,0.7701185277604492,0.8247955258627429,0.8450241660700966,5731,10686,0.5363091895938611,3266,6356,0.5138451856513531,449,132,838,317,0.1374770361298224,0.535799522673031,0.04041641151255358,0.07064191315292637,0.02076777847702958,10.008166967353871,6.687362382664477,19.957933382679958,3162.752359974827,8.888137193203272,8.406230333543109,3579.388766519824,6742.141126494651,7.864726064521628,2.143437279437001,1.9884367712397735,0.015632486674008808,3.6233952421345675e-06,False,
HaluEvalQA-3206-afterHuman,structure_aware_no_cross_side,2101,170,2980,1105,6356,0.7994021397105098,0.9251431087626596,0.6553337492202121,0.7672083257257623,2420,175,2975,786,6356,0.8488042794210195,0.9325626204238922,0.7548346849656893,0.8343389070849854,0.8406292937197624,0.8573913233396802,0.9232812433354894,0.941244684963278,0.7395508421709295,0.7694946974422957,0.8243689546076165,0.8445599402575241,5707,10686,0.5340632603406326,3255,6356,0.512114537444934,446,132,834,314,0.13701996927803378,0.5347721822541966,0.04055299539170507,0.07016991818753933,0.02076777847702958,9.993258063168772,6.68120911359142,19.94626278859209,3155.5154185022025,8.869257394587791,8.406230333543109,3579.388766519824,6734.9041850220265,7.849817230144622,2.143437279437001,1.9884367712397735,0.015632486674008808,3.5535871497278622e-06,False,
HaluEvalQA-3206-afterHuman,structure_aware_no_paradox,2101,170,2980,1105,6356,0.7994021397105098,0.9251431087626596,0.6553337492202121,0.7672083257257623,2350,161,2989,856,6356,0.8399937067337948,0.9358821186778176,0.7330006238303182,0.8221094979884553,0.8313107377410355,0.8484198588507463,0.9266008471538637,0.9447384725684942,0.7174048658764816,0.7476606363069245,0.8114150009051396,0.8324067774311169,4532,10686,0.42410630731798615,2413,6356,0.37964128382630585,361,103,609,258,0.14960629921259844,0.5927750410509032,0.04268545379196022,0.056796727501573316,0.01620516047828823,9.256738920389886,5.160286198046863,18.18250254566392,2786.8401510383887,7.9449339207048455,8.406230333543109,3579.388766519824,6366.228917558213,7.113298113592919,2.143437279437001,1.9884367712397735,0.015632486674008808,3.527359964585083e-06,False,
HaluEvalQA-3206-afterHuman,structure_aware_no_two_antonym,2101,170,2980,1105,6356,0.7994021397105098,0.9251431087626596,0.6553337492202121,0.7672083257257623,2422,175,2975,784,6356,0.8491189427312775,0.9326145552560647,0.7554585152838428,0.8347406513872135,0.8408802331215759,0.8577061241058577,0.9233402009281896,0.9412906400855415,0.740174672489083,0.7701185277604492,0.8246510992173112,0.8448800021703332,5701,10686,0.5335017780273255,3256,6356,0.512271869100063,448,132,837,316,0.1375921375921376,0.5352449223416965,0.04054054054054054,0.07048458149779736,0.02076777847702958,9.989479712492248,6.681209118027142,19.95793332705108,3153.12822529893,8.864537444933921,8.406230333543109,3579.388766519824,6732.516991818754,7.846038872010555,2.143437279437001,1.9884367712397735,0.015632486674008808,3.561044690334587e-06,False,
HaluEvalQA-3206-afterHuman,structure_aware_no_uncertainty,2101,170,2980,1105,6356,0.7994021397105098,0.9251431087626596,0.6553337492202121,0.7672083257257623,2335,171,2979,871,6356,0.8360604153555695,0.9317637669592976,0.7283218964441672,0.8175770308123249,0.8273528485993076,0.844871871190882,0.9221376735729863,0.9411065847947627,0.7130380536494073,0.743605739238927,0.8066943315232288,0.828260070395659,4400,10686,0.4117536964252293,2981,6356,0.46900566393958465,352,119,707,233,0.11808118081180811,0.49787835926449786,0.03991949010399195,0.05538074260541221,0.018722466960352423,9.137457380647726,6.415943442643663,19.01368654592147,2749.7287602265574,7.841095028319698,8.406230333543109,3579.388766519824,6329.117526746381,6.994016534722392,2.143437279437001,1.9884367712397735,0.015632486674008808,3.566488333789619e-06,False,
HaluEvalQA-3206-afterHuman,uncertainty_only,2101,170,2980,1105,6356,0.7994021397105098,0.9251431087626596,0.6553337492202121,0.7672083257257623,2227,166,2984,979,6356,0.8198552548772813,0.9306310071040534,0.6946350592638803,0.7954991962850508,0.8107214725420582,0.8289325274692598,0.9206339359565165,0.9399178574073356,0.6790393013100436,0.7105427323767936,0.7838415224210896,0.8070860737865054,1846,10686,0.17274939172749393,644,6356,0.1013215859030837,153,23,275,130,0.2375776397515528,0.5563636363636364,0.03571428571428571,0.02407174323473883,0.003618628067967275,7.582042596382573,3.911164751361926,14.338435831122565,1941.3860918816865,5.831969792322215,8.406230333543109,3579.388766519824,5520.774858401511,5.438603213075202,2.143437279437001,1.9884367712397735,0.015632486674008808,2.1038703706005296e-06,False,
